skolenavn,year,karsnit
Øster Farimagsgades Skole,2014,7.3
Ålholm Skole,2014,4.0
Amager Fælled Skole,2015,5.3
Bavnehøj Skole,2015,5.6
Bellahøj Skole,2015,6.2
Blågård Skole,2015,5.6
Brønshøj Skole,2015,6.7
Christianshavns Skole,2015,7.3
Damhusengens Skole,2015,7.4
Den Classenske Legatskole,2015,7.6
Ellebjerg Skole,2015,5.8
Grøndalsvængets Skole,2015,6.1
Guldberg Skole,2015,6.9
Hanssted Skole,2015,7.3
Heibergskolen,2015,8.4
Holbergskolen,2015,6.6
Husum Skole,2015,6.6
Højdevangens Skole,2015,6.1
Katrinedals Skole,2015,7.6
Kildevældsskolen,2015,5.5
Kirkebjerg Skole,2015,6.8
Kirsebærhavens Skole,2015,5.6
Korsager Skole,2015,5.5
Langelinieskolen,2015,7.2
Lergravsparkens Skole,2015,6.4
Lundehusskolen,2015,5.1
Lykkebo Skole,2015,5.6
Nyboder Skole,2015,7.3
Nørrebro Park Skole,2015,5.6
Oehlenschlægersgades Skole,2015,6.9
Peder Lykke Skolen,2015,6.3
Randersgades Skole,2015,7.5
Rødkilde Skole,2015,6.1
Rådmandsgades Skole,2015,4.6
Sankt Annæ Gymnasiums Grundskole,2015,8.1
Skolen på Amagerbro,2015,5.2
Skolen på Islands Brygge,2015,7.1
Skolen ved Sundet,2015,7.4
Sortedamskolen,2015,7.9
Strandvejsskolen,2015,7.7
Sølvgades Skole,2015,7.4
Tagensbo Skole,2015,4.1
Tingbjerg Skole,2015,5.5
Tove Ditlevsens Skole,2015,7.0
Utterslev Skole,2015,7.0
Valby Skole,2015,5.9
Vesterbro Ny Skole,2015,6.0
Vibenshus Skole,2015,6.6
Vigerslev Allés Skole,2015,5.5
Øster Farimagsgades Skole,2015,8.1
Ålholm Skole,2015,6.0
Amager Fælled Skole,2016,6.1
Bavnehøj Skole,2016,7.5
Bellahøj Skole,2016,6.7
Blågård Skole,2016,5.0
Brønshøj Skole,2016,6.6
Christianshavns Skole,2016,7.3
Damhusengens Skole,2016,7.9
Den Classenske Legatskole,2016,8.2
Ellebjerg Skole,2016,6.0
Gasværksvejens Skole,2016,7.4
Grøndalsvængets Skole,2016,5.8
Guldberg Skole,2016,6.8
Hanssted Skole,2016,7.1
Heibergskolen,2016,8.1
Holbergskolen,2016,6.2
Husum Skole,2016,6.5
Højdevangens Skole,2016,6.8
Katrinedals Skole,2016,8.0
Kildevældsskolen,2016,6.7
Kirkebjerg Skole,2016,7.0
Kirsebærhavens Skole,2016,6.5
Korsager Skole,2016,6.3
Langelinieskolen,2016,6.6
Lergravsparkens Skole,2016,7.0
Lundehusskolen,2016,5.5
Lykkebo Skole,2016,6.1
Nyboder Skole,2016,7.6
Nørre Fælled Skole,2016,6.9
Nørrebro Park Skole,2016,5.1
Oehlenschlægersgades Skole,2016,7.2
Peder Lykke Skolen,2016,5.9
Randersgades Skole,2016,8.3
Rødkilde Skole,2016,7.2
Rådmandsgades Skole,2016,5.2
Sankt Annæ Gymnasiums Grundskole,2016,8.5
Skolen på Amagerbro,2016,5.4
Skolen på Islands Brygge,2016,7.1
Skolen ved Sundet,2016,7.6
Sortedamskolen,2016,7.5
Strandvejsskolen,2016,6.8
Sølvgades Skole,2016,7.0
Tagensbo Skole,2016,6.1
Tingbjerg Skole,2016,4.5
Tove Ditlevsens Skole,2016,6.8
Utterslev Skole,2016,7.1
Valby Skole,2016,6.2
Vesterbro Ny Skole,2016,5.9
Vibenshus Skole,2016,7.0
Vigerslev Allés Skole,2016,6.6
Øster Farimagsgades Skole,2016,7.9
Ålholm Skole,2016,5.3
Amager Fælled Skole,2017,6.4
Bavnehøj Skole,2017,5.2
Bellahøj Skole,2017,7.0
Blågård Skole,2017,5.6
Brønshøj Skole,2017,7.0
Christianshavns Skole,2017,7.2
Damhusengens Skole,2017,7.5
Den Classenske Legatskole,2017,7.8
Ellebjerg Skole,2017,6.6
Gasværksvejens Skole,2017,7.4
Grøndalsvængets Skole,2017,5.9
Guldberg Skole,2017,7.0
Hanssted Skole,2017,7.2
Heibergskolen,2017,8.6
Holbergskolen,2017,6.6
Husum Skole,2017,6.4
Højdevangens Skole,2017,6.6
Katrinedals Skole,2017,7.6
Kildevældsskolen,2017,6.5
Kirkebjerg Skole,2017,7.3
Kirsebærhavens Skole,2017,6.1
Korsager Skole,2017,6.3
Langelinieskolen,2017,7.2
Lergravsparkens Skole,2017,6.3
Lundehusskolen,2017,5.7
Lykkebo Skole,2017,6.1
Nyboder Skole,2017,7.8
Nørre Fælled Skole,2017,6.4
Nørrebro Park Skole,2017,6.9
Oehlenschlægersgades Skole,2017,6.7
Peder Lykke Skolen,2017,5.6
Randersgades Skole,2017,7.9
Rødkilde Skole,2017,6.3
Rådmandsgades Skole,2017,5.5
Sankt Annæ Gymnasiums Grundskole,2017,8.3
Skolen på Amagerbro,2017,4.2
Skolen på Islands Brygge,2017,7.4
Skolen ved Sundet,2017,8.3
Sortedamskolen,2017,7.5
Strandvejsskolen,2017,7.1
Sølvgades Skole,2017,7.6
Tagensbo Skole,2017,5.3
Tingbjerg Skole,2017,4.3
Tove Ditlevsens Skole,2017,6.4
Utterslev Skole,2017,6.6
Valby Skole,2017,6.0
Vesterbro Ny Skole,2017,6.0
Vibenshus Skole,2017,7.3
Vigerslev Allés Skole,2017,6.5
Øster Farimagsgades Skole,2017,7.7
Ålholm Skole,2017,5.5
